Entity,Code,Year,Fossil fuels (TWh)
Africa,,1965,674.1406
Africa,,1966,703.2849
Africa,,1967,709.147
Africa,,1968,743.80164
Africa,,1969,756.53564
Africa,,1970,810.593
Africa,,1971,873.6427
Africa,,1972,917.9773
Africa,,1973,998.10486
Africa,,1974,1040.7028
Africa,,1975,1103.3264
Africa,,1976,1193.4208
Africa,,1977,1252.8444
Africa,,1978,1305.9135
Africa,,1979,1426.3143
Africa,,1980,1549.4294
Africa,,1981,1752.0176
Africa,,1982,1878.5868
Africa,,1983,1948.7394
Africa,,1984,2001.4131
Africa,,1985,2069.697
Africa,,1986,2098.6104
Africa,,1987,2189.5
Africa,,1988,2329.9949
Africa,,1989,2324.4744
Africa,,1990,2414.6091
Africa,,1991,2397.9373
Africa,,1992,2442.647
Africa,,1993,2459.7668
Africa,,1994,2540.0798
Africa,,1995,2637.6973
Africa,,1996,2701.9807
Africa,,1997,2756.1438
Africa,,1998,2787.6418
Africa,,1999,2870.9463
Africa,,2000,2929.334
Africa,,2001,3041.8628
Africa,,2002,3070.2354
Africa,,2003,3227.6814
Africa,,2004,3518.9697
Africa,,2005,3490.628
Africa,,2006,3567.7847
Africa,,2007,3699.359
Africa,,2008,3936.8154
Africa,,2009,3987.3198
Africa,,2010,4106.646
Africa,,2011,4169.005
Africa,,2012,4372.651
Africa,,2013,4505.3022
Africa,,2014,4641.5493
Africa,,2015,4751.086
Africa,,2016,4857.5625
Africa,,2017,4998.0938
Africa,,2018,5060.6753
Africa,,2019,5180.658
Africa,,2020,4886.883
Africa,,2021,5302.949
Africa,,2022,5373.3154
Africa,,2023,5444.9355
Africa,,2024,5519.1196
Africa (EI),,1965,674.1406
Africa (EI),,1966,703.2849
Africa (EI),,1967,709.147
Africa (EI),,1968,743.80164
Africa (EI),,1969,756.53564
Africa (EI),,1970,810.593
Africa (EI),,1971,873.6427
Africa (EI),,1972,917.9773
Africa (EI),,1973,998.10486
Africa (EI),,1974,1040.7028
Africa (EI),,1975,1103.3264
Africa (EI),,1976,1193.4208
Africa (EI),,1977,1252.8444
Africa (EI),,1978,1305.9135
Africa (EI),,1979,1426.3143
Africa (EI),,1980,1549.4294
Africa (EI),,1981,1752.0176
Africa (EI),,1982,1878.5868
Africa (EI),,1983,1948.7394
Africa (EI),,1984,2001.4131
Africa (EI),,1985,2069.697
