Year,Type,Real,Pred_LSTM
1965,Fossil,93.74764,
1966,Fossil,93.634895,
1967,Fossil,93.69129,
1968,Fossil,93.675,
1969,Fossil,93.700485,
1970,Fossil,93.722466,
1971,Fossil,93.55796,
1972,Fossil,93.43733,
1973,Fossil,93.49328,
1974,Fossil,92.717,
1975,Fossil,92.26256,
1976,Fossil,92.41345,
1977,Fossil,92.075294,
1978,Fossil,91.587364,
1979,Fossil,91.461945,
1980,Fossil,91.01732,
1981,Fossil,90.36618,
1982,Fossil,89.90039,
1983,Fossil,89.32204,
1984,Fossil,88.772156,
1985,Fossil,88.14147,
1986,Fossil,87.92539,
1987,Fossil,87.80247,
1988,Fossil,87.56034,
1989,Fossil,87.620735,
1990,Fossil,87.37608,
1991,Fossil,87.017265,
1992,Fossil,87.022575,
1993,Fossil,86.51433,
1994,Fossil,86.49636,
1995,Fossil,86.137886,
1996,Fossil,86.20363,
1997,Fossil,86.21961,
1998,Fossil,86.1011,
1999,Fossil,85.997475,
2000,Fossil,86.04497,
2001,Fossil,86.20704,
2002,Fossil,86.29217,
2003,Fossil,86.885765,
2004,Fossil,86.773224,
2005,Fossil,86.95979,
2006,Fossil,86.93086,
2007,Fossil,87.204216,
2008,Fossil,86.85323,
2009,Fossil,86.56497,
2010,Fossil,86.50988,
2011,Fossil,86.68278,
2012,Fossil,86.68147,
2013,Fossil,86.34966,
2014,Fossil,85.96608,
2015,Fossil,85.69416,
2016,Fossil,85.28296,
2017,Fossil,84.99661,
2018,Fossil,84.619255,
2019,Fossil,84.09172,
2020,Fossil,82.98475,
2021,Fossil,82.950356,
2022,Fossil,82.57288,
2023,Fossil,82.14785,
2024,Fossil,81.25719,
2025,Fossil,,83.77527514611944
2026,Fossil,,83.96907917687832
2027,Fossil,,84.22115732673421
2028,Fossil,,84.51288136829376
2029,Fossil,,84.81964315371603
1965,Renewable,6.088109,
1966,Renewable,6.155143,
1967,Renewable,6.0675287,
1968,Renewable,6.03579,
1969,Renewable,5.978705,
1970,Renewable,5.8929,
1971,Renewable,5.9273896,
1972,Renewable,5.8859487,
1973,Renewable,5.6497455,
1974,Renewable,6.1681147,
1975,Renewable,6.201238,
1976,Renewable,5.8808265,
1977,Renewable,5.8756404,
1978,Renewable,6.1209283,
1979,Renewable,6.2307334,
1980,Renewable,6.4362164,
1981,Renewable,6.6121817,
1982,Renewable,6.804729,
1983,Renewable,7.0058365,
1984,Renewable,6.962811,
1985,Renewable,6.92851,
1986,Renewable,6.9085894,
1987,Renewable,6.774538,
1988,Renewable,6.7405643,
1989,Renewable,6.629637,
1990,Renewable,6.795954,
1991,Renewable,6.917012,
1992,Renewable,6.902818,
1993,Renewable,7.2510247,
1994,Renewable,7.2316523,
1995,Renewable,7.4576488,
1996,Renewable,7.3469806,
1997,Renewable,7.43751,
1998,Renewable,7.482252,
1999,Renewable,7.4507895,
2000,Renewable,7.4256287,
2001,Renewable,7.1826315,
2002,Renewable,7.1862054,
2003,Renewable,6.975092,
2004,Renewable,7.1525755,
2005,Renewable,7.191536,
2006,Renewable,7.3385572,
2007,Renewable,7.383397,
2008,Renewable,7.8546634,
2009,Renewable,8.16082,
2010,Renewable,8.369888,
2011,Renewable,8.548672,
2012,Renewable,8.962558,
2013,Renewable,9.367213,
2014,Renewable,9.732479,
2015,Renewable,10.000407,
2016,Renewable,10.430926,
2017,Renewable,10.793239,
2018,Renewable,11.201657,
2019,Renewable,11.650606,
2020,Renewable,12.780913,
2021,Renewable,12.861119,
2022,Renewable,13.503552000000001,
2023,Renewable,13.942838,
2024,Renewable,14.822139,
2025,Renewable,,16.38480015844828
2026,Renewable,,17.53724186453676
2027,Renewable,,18.630056399783314
2028,Renewable,,19.620802103580772
2029,Renewable,,20.460513885019722
