Entity,Code,Year,Solar (% equivalent primary energy)
Africa,,1965,0
Africa,,1966,0
Africa,,1967,0
Africa,,1968,0
Africa,,1969,0
Africa,,1970,0
Africa,,1971,0
Africa,,1972,0
Africa,,1973,0
Africa,,1974,0
Africa,,1975,0
Africa,,1976,0
Africa,,1977,0
Africa,,1978,0
Africa,,1979,0
Africa,,1980,0
Africa,,1981,0
Africa,,1982,0
Africa,,1983,0
Africa,,1984,0
Africa,,1985,0
Africa,,1986,0
Africa,,1987,0
Africa,,1988,0
Africa,,1989,0
Africa,,1990,0
Africa,,1991,0
Africa,,1992,0
Africa,,1993,0
Africa,,1994,0
Africa,,1995,0
Africa,,1996,0
Africa,,1997,0
Africa,,1998,0
Africa,,1999,0
Africa,,2000,0.0010554118
Africa,,2001,0.0012587479
Africa,,2002,0.0013479193
Africa,,2003,0.0015021728
Africa,,2004,0.0016568112
Africa,,2005,0.0019319301
Africa,,2006,0.002433792
Africa,,2007,0.0029369048
Africa,,2008,0.0038883414
Africa,,2009,0.005101402
Africa,,2010,0.011793205
Africa,,2011,0.033707667
Africa,,2012,0.051882397
Africa,,2013,0.038759854
Africa,,2014,0.09389723
Africa,,2015,0.17454262
Africa,,2016,0.25119522
Africa,,2017,0.3186147
Africa,,2018,0.3763915
Africa,,2019,0.4827459
Africa,,2020,0.6959234
Africa,,2021,0.73597026
Africa,,2022,0.7141424
Africa,,2023,0.76835746
Africa,,2024,0.8329188
Africa (EI),,1965,0
Africa (EI),,1966,0
Africa (EI),,1967,0
Africa (EI),,1968,0
Africa (EI),,1969,0
Africa (EI),,1970,0
Africa (EI),,1971,0
Africa (EI),,1972,0
Africa (EI),,1973,0
Africa (EI),,1974,0
Africa (EI),,1975,0
Africa (EI),,1976,0
Africa (EI),,1977,0
Africa (EI),,1978,0
Africa (EI),,1979,0
Africa (EI),,1980,0
Africa (EI),,1981,0
Africa (EI),,1982,0
Africa (EI),,1983,0
Africa (EI),,1984,0
Africa (EI),,1985,0
Africa (EI),,1986,0
Africa (EI),,1987,0
Africa (EI),,1988,0
Africa (EI),,1989,0
Africa (EI),,1990,0
Africa (EI),,1991,0
Africa (EI),,1992,0
Africa (EI),,1993,0
Africa (EI),,1994,0
Africa (EI),,1995,0
Africa (EI),,1996,0
Africa (EI),,1997,0
Africa (EI),,1998,0
Africa (EI),,1999,0
Africa (EI),,2000,0.0010554118
Africa (EI),,2001,0.0012587479
Africa (EI),,2002,0.0013479193
Africa (EI),,2003,0.0015021728
Africa (EI),,2004,0.0016568112
Africa (EI),,2005,0.0019319301
Africa (EI),,2006,0.002433792
Africa (EI),,2007,0.0029369048
Africa (EI),,2008,0.0038883414
Africa (EI),,2009,0.005101402
Africa (EI),,2010,0.011793205
Africa (EI),,2011,0.033707667
Africa (EI),,2012,0.051882397
Africa (EI),,2013,0.038759854
Africa (EI),,2014,0.09389723
Africa (EI),,2015,0.17454262
Africa (EI),,2016,0.25119522
Africa (EI),,2017,0.3186147
Africa (EI),,2018,0.3763915
Africa (EI),,2019,0.4827459
Africa (EI),,2020,0.6959234
Africa (EI),,2021,0.73597026
Africa (EI),,2022,0.7141424
Africa (EI),,2023,0.76835746
Africa (EI),,2024,0.8329188
Algeria,DZA,1965,0
Algeria,DZA,1966,0
Algeria,DZA,1967,0
Algeria,DZA,1968,0
Algeria,DZA,1969,0
Algeria,DZA,1970,0
Algeria,DZA,1971,0
Algeria,DZA,1972,0
Algeria,DZA,1973,0
Algeria,DZA,1974,0
Algeria,DZA,1975,0
Algeria,DZA,1976,0
Algeria,DZA,1977,0
Algeria,DZA,1978,0
Algeria,DZA,1979,0
Algeria,DZA,1980,0
Algeria,DZA,1981,0
Algeria,DZA,1982,0
Algeria,DZA,1983,0
Algeria,DZA,1984,0
Algeria,DZA,1985,0
Algeria,DZA,1986,0
Algeria,DZA,1987,0
Algeria,DZA,1988,0
Algeria,DZA,1989,0
Algeria,DZA,1990,0
Algeria,DZA,1991,0
Algeria,DZA,1992,0
Algeria,DZA,1993,0
Algeria,DZA,1994,0
Algeria,DZA,1995,0
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0.0053986055
Algeria,DZA,2011,0.010107143
Algeria,DZA,2012,0.013568416
Algeria,DZA,2013,0.013622319
Algeria,DZA,2014,0.026072267
Algeria,DZA,2015,0.0237797
Algeria,DZA,2016,0.09977912
Algeria,DZA,2017,0.20201978
Algeria,DZA,2018,0.22404632
Algeria,DZA,2019,0.21927753
Algeria,DZA,2020,0.26069736
Algeria,DZA,2021,0.23115428
Algeria,DZA,2022,0.21720415
Algeria,DZA,2023,0.21267942
Algeria,DZA,2024,0.22010773
Argentina,ARG,1965,0
Argentina,ARG,1966,0
Argentina,ARG,1967,0
Argentina,ARG,1968,0
Argentina,ARG,1969,0
Argentina,ARG,1970,0
Argentina,ARG,1971,0
Argentina,ARG,1972,0
Argentina,ARG,1973,0
Argentina,ARG,1974,0
Argentina,ARG,1975,0
Argentina,ARG,1976,0
Argentina,ARG,1977,0
Argentina,ARG,1978,0
Argentina,ARG,1979,0
Argentina,ARG,1980,0
Argentina,ARG,1981,0
Argentina,ARG,1982,0
Argentina,ARG,1983,0
Argentina,ARG,1984,0
Argentina,ARG,1985,0
Argentina,ARG,1986,0
Argentina,ARG,1987,0
Argentina,ARG,1988,0
Argentina,ARG,1989,0
Argentina,ARG,1990,0
Argentina,ARG,1991,0
Argentina,ARG,1992,0
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,0
Argentina,ARG,1996,0
Argentina,ARG,1997,0
Argentina,ARG,1998,0.0000068532613
Argentina,ARG,1999,0.000010298844
Argentina,ARG,2000,0.000014324339
Argentina,ARG,2001,0.000017455654
Argentina,ARG,2002,0.000019769635
Argentina,ARG,2003,0.000025362588
Argentina,ARG,2004,0.000025448866
Argentina,ARG,2005,0.000027566202
Argentina,ARG,2006,0.000029027402
Argentina,ARG,2007,0.000033546687
Argentina,ARG,2008,0.000043421263
Argentina,ARG,2009,0.000023610282
Argentina,ARG,2010,0.000025532585
Argentina,ARG,2011,0.00046372996
Argentina,ARG,2012,0.002243689
Argentina,ARG,2013,0.0038421701
Argentina,ARG,2014,0.0041097463
Argentina,ARG,2015,0.0037016403
Argentina,ARG,2016,0.0035854992
Argentina,ARG,2017,0.004139997
Argentina,ARG,2018,0.02743963
Argentina,ARG,2019,0.21521637
Argentina,ARG,2020,0.38692036
Argentina,ARG,2021,0.5757954
Argentina,ARG,2022,0.72618383
Argentina,ARG,2023,0.80321044
Argentina,ARG,2024,0.9919312
Asia,,1965,0
Asia,,1966,0
Asia,,1967,0
Asia,,1968,0
Asia,,1969,0
Asia,,1970,0
Asia,,1971,0
Asia,,1972,0
Asia,,1973,0
Asia,,1974,0
Asia,,1975,0
Asia,,1976,0
Asia,,1977,0
Asia,,1978,0
Asia,,1979,0
Asia,,1980,0
Asia,,1981,0
Asia,,1982,0
Asia,,1983,0
Asia,,1984,0
Asia,,1985,0
Asia,,1986,0
Asia,,1987,0
Asia,,1988,0
Asia,,1989,0
