"","Entity","Code","Year","Fossil_Fuels","Renewables","Income_Group","Net_Zero_Targets"
"1","Afghanistan","AFG",2000,35.416668,64.583336,"Low-income countries","Proposed / in discussion"
"2","Afghanistan","AFG",2001,27.536232,72.46377,"Low-income countries","Proposed / in discussion"
"3","Afghanistan","AFG",2002,21.126762,78.873245,"Low-income countries","Proposed / in discussion"
"4","Afghanistan","AFG",2003,30.76923,69.23077,"Low-income countries","Proposed / in discussion"
"5","Afghanistan","AFG",2004,29.113924,70.88608,"Low-income countries","Proposed / in discussion"
"6","Afghanistan","AFG",2005,28.04878,71.95122,"Low-income countries","Proposed / in discussion"
"7","Afghanistan","AFG",2006,28.88889,71.111115,"Low-income countries","Proposed / in discussion"
"8","Afghanistan","AFG",2007,25.742573,74.25742,"Low-income countries","Proposed / in discussion"
"9","Afghanistan","AFG",2008,30.769232,69.230774,"Low-income countries","Proposed / in discussion"
"10","Afghanistan","AFG",2009,12.35955,87.64045,"Low-income countries","Proposed / in discussion"
"11","Afghanistan","AFG",2010,14.772727,85.22727,"Low-income countries","Proposed / in discussion"
"12","Afghanistan","AFG",2011,22.077923,77.92208,"Low-income countries","Proposed / in discussion"
"13","Afghanistan","AFG",2012,15.909091,84.09091,"Low-income countries","Proposed / in discussion"
"14","Afghanistan","AFG",2013,19.81982,80.180176,"Low-income countries","Proposed / in discussion"
"15","Afghanistan","AFG",2014,13.793103,86.2069,"Low-income countries","Proposed / in discussion"
"16","Afghanistan","AFG",2015,12.711865,87.28814,"Low-income countries","Proposed / in discussion"
"17","Afghanistan","AFG",2016,12.396694,87.6033,"Low-income countries","Proposed / in discussion"
"18","Afghanistan","AFG",2017,13.4920635,86.50794,"Low-income countries","Proposed / in discussion"
"19","Afghanistan","AFG",2018,17.094017,82.90599,"Low-income countries","Proposed / in discussion"
"20","Afghanistan","AFG",2019,12.328767,87.67123,"Low-income countries","Proposed / in discussion"
"21","Afghanistan","AFG",2020,10.169492,89.830505,"Low-income countries","Proposed / in discussion"
"22","Afghanistan","AFG",2021,12.264152,87.735855,"Low-income countries","Proposed / in discussion"
"23","Afghanistan","AFG",2022,13.541666,86.458336,"Low-income countries","Proposed / in discussion"
"24","Afghanistan","AFG",2023,13.4020605,86.59793,"Low-income countries","Proposed / in discussion"
"25","Albania","ALB",2000,3.805497,96.1945,"Lower-middle-income countries","In policy document"
"26","Albania","ALB",2001,4.607046,95.39295,"Lower-middle-income countries","In policy document"
"27","Albania","ALB",2002,6.199461,93.80054,"Lower-middle-income countries","In policy document"
"28","Albania","ALB",2003,2.1032505,97.89674,"Lower-middle-income countries","In policy document"
"29","Albania","ALB",2004,2.5225224,97.47747,"Lower-middle-income countries","In policy document"
"30","Albania","ALB",2005,1.2987013,98.7013,"Lower-middle-income countries","In policy document"
"31","Albania","ALB",2006,1.7857144,98.21428,"Lower-middle-income countries","In policy document"
"32","Albania","ALB",2007,2.4734983,97.526505,"Lower-middle-income countries","In policy document"
"33","Albania","ALB",2008,0,100,"Lower-middle-income countries","In policy document"
"34","Albania","ALB",2009,0,100,"Upper-middle-income countries","In policy document"
"35","Albania","ALB",2010,0,100,"Upper-middle-income countries","In policy document"
"36","Albania","ALB",2011,1.4319808,98.56802,"Lower-middle-income countries","In policy document"
"37","Albania","ALB",2012,0,100,"Upper-middle-income countries","In policy document"
"38","Albania","ALB",2013,0,100,"Upper-middle-income countries","In policy document"
"39","Albania","ALB",2014,0,100,"Upper-middle-income countries","In policy document"
"40","Albania","ALB",2015,0,100,"Upper-middle-income countries","In policy document"
"41","Albania","ALB",2016,0,100,"Upper-middle-income countries","In policy document"
"42","Albania","ALB",2017,0,100,"Upper-middle-income countries","In policy document"
"43","Albania","ALB",2018,0,100,"Upper-middle-income countries","In policy document"
"44","Albania","ALB",2019,0,100,"Upper-middle-income countries","In policy document"
"45","Albania","ALB",2020,0,100,"Upper-middle-income countries","In policy document"
"46","Albania","ALB",2021,0,100,"Upper-middle-income countries","In policy document"
"47","Albania","ALB",2022,0,100,"Upper-middle-income countries","In policy document"
"48","Albania","ALB",2023,0,100,"Upper-middle-income countries","In policy document"
"49","Algeria","DZA",2000,99.803154,0.1968504,"Lower-middle-income countries","In policy document"
"50","Algeria","DZA",2001,99.73703,0.26296017,"Lower-middle-income countries","In policy document"
"51","Algeria","DZA",2002,99.783005,0.21699819,"Lower-middle-income countries","In policy document"
"52","Algeria","DZA",2003,99.12073,0.8792695,"Lower-middle-income countries","In policy document"
"53","Algeria","DZA",2004,99.2,0.8,"Lower-middle-income countries","In policy document"
"54","Algeria","DZA",2005,98.37806,1.6219405,"Lower-middle-income countries","In policy document"
"55","Algeria","DZA",2006,99.37553,0.6244678,"Lower-middle-income countries","In policy document"
"56","Algeria","DZA",2007,99.40845,0.5915569,"Lower-middle-income countries","In policy document"
"57","Algeria","DZA",2008,99.30401,0.695998,"Upper-middle-income countries","In policy document"
"58","Algeria","DZA",2009,99.22078,0.7792208,"Upper-middle-income countries","In policy document"
"59","Algeria","DZA",2010,99.62826,0.37174723,"Upper-middle-income countries","In policy document"
"60","Algeria","DZA",2011,99.02382,0.97618115,"Upper-middle-income countries","In policy document"
"61","Algeria","DZA",2012,98.91985,1.0801394,"Upper-middle-income countries","In policy document"
"62","Algeria","DZA",2013,99.44899,0.5510102,"Upper-middle-income countries","In policy document"
"63","Algeria","DZA",2014,99.611015,0.388984,"Upper-middle-income countries","In policy document"
"64","Algeria","DZA",2015,99.68043,0.31958166,"Upper-middle-income countries","In policy document"
"65","Algeria","DZA",2016,99.52139,0.4786036,"Upper-middle-income countries","In policy document"
"66","Algeria","DZA",2017,99.15867,0.84133035,"Upper-middle-income countries","In policy document"
"67","Algeria","DZA",2018,98.931595,1.0684038,"Upper-middle-income countries","In policy document"
"68","Algeria","DZA",2019,98.93395,1.0660459,"Lower-middle-income countries","In policy document"
"69","Algeria","DZA",2020,98.891266,1.1087313,"Lower-middle-income countries","In policy document"
"70","Algeria","DZA",2021,99.05374,0.9462617,"Lower-middle-income countries","In policy document"
"71","Algeria","DZA",2022,99.0598,0.94019896,"Lower-middle-income countries","In policy document"
"72","Algeria","DZA",2023,99.05503,0.94496363,"Upper-middle-income countries","In policy document"
"73","Angola","AGO",2000,36.805553,63.194443,"Low-income countries","Proposed / in discussion"
"74","Angola","AGO",2001,37.80488,62.19512,"Low-income countries","Proposed / in discussion"
"75","Angola","AGO",2002,35.227272,64.77273,"Low-income countries","Proposed / in discussion"
"76","Angola","AGO",2003,37.688442,62.311558,"Low-income countries","Proposed / in discussion"
"77","Angola","AGO",2004,21.875,78.125,"Lower-middle-income countries","Proposed / in discussion"
"78","Angola","AGO",2005,15.589353,84.410645,"Lower-middle-income countries","Proposed / in discussion"
"79","Angola","AGO",2006,14.7651005,85.23489,"Lower-middle-income countries","Proposed / in discussion"
"80","Angola","AGO",2007,23.148148,76.85185,"Lower-middle-income countries","Proposed / in discussion"
"81","Angola","AGO",2008,22.222221,77.77778,"Lower-middle-income countries","Proposed / in discussion"
"82","Angola","AGO",2009,33.401222,66.59878,"Lower-middle-income countries","Proposed / in discussion"
"83","Angola","AGO",2010,32.05128,67.948715,"Lower-middle-income countries","Proposed / in discussion"
"84","Angola","AGO",2011,28.975266,71.024734,"Upper-middle-income countries","Proposed / in discussion"
"85","Angola","AGO",2012,29.015545,70.98446,"Upper-middle-income countries","Proposed / in discussion"
"86","Angola","AGO",2013,41.963192,58.03681,"Upper-middle-income countries","Proposed / in discussion"
"87","Angola","AGO",2014,47.17573,52.82427,"Upper-middle-income countries","Proposed / in discussion"
"88","Angola","AGO",2015,45.398773,54.60123,"Upper-middle-income countries","Proposed / in discussion"
"89","Angola","AGO",2016,41.438984,58.56102,"Lower-middle-income countries","Proposed / in discussion"
"90","Angola","AGO",2017,28.584642,71.41535,"Lower-middle-income countries","Proposed / in discussion"
"91","Angola","AGO",2018,20.547945,79.45205,"Lower-middle-income countries","Proposed / in discussion"
"92","Angola","AGO",2019,26.801516,73.19849,"Lower-middle-income countries","Proposed / in discussion"
"93","Angola","AGO",2020,24.390244,75.60976,"Lower-middle-income countries","Proposed / in discussion"
"94","Angola","AGO",2021,24.56973,75.43027,"Lower-middle-income countries","Proposed / in discussion"
"95","Angola","AGO",2022,24.436743,75.56326,"Lower-middle-income countries","Proposed / in discussion"
"96","Angola","AGO",2023,23.578594,76.4214,"Lower-middle-income countries","Proposed / in discussion"
"97","Antigua and Barbuda","ATG",2000,100,0,"Upper-middle-income countries","In policy document"
"98","Antigua and Barbuda","ATG",2001,100,0,"Upper-middle-income countries","In policy document"
"99","Antigua and Barbuda","ATG",2002,100,0,"High-income countries","In policy document"
"100","Antigua and Barbuda","ATG",2003,100,0,"Upper-middle-income countries","In policy document"
"101","Antigua and Barbuda","ATG",2004,100,0,"Upper-middle-income countries","In policy document"
"102","Antigua and Barbuda","ATG",2005,100,0,"High-income countries","In policy document"
"103","Antigua and Barbuda","ATG",2006,100,0,"High-income countries","In policy document"
"104","Antigua and Barbuda","ATG",2007,100,0,"High-income countries","In policy document"
"105","Antigua and Barbuda","ATG",2008,100,0,"High-income countries","In policy document"
"106","Antigua and Barbuda","ATG",2009,100,0,"Upper-middle-income countries","In policy document"
"107","Antigua and Barbuda","ATG",2010,100,0,"Upper-middle-income countries","In policy document"
"108","Antigua and Barbuda","ATG",2011,100,0,"Upper-middle-income countries","In policy document"
"109","Antigua and Barbuda","ATG",2012,100,0,"High-income countries","In policy document"
"110","Antigua and Barbuda","ATG",2013,100,0,"High-income countries","In policy document"
"111","Antigua and Barbuda","ATG",2014,100,0,"High-income countries","In policy document"
"112","Antigua and Barbuda","ATG",2015,97.14286,2.857143,"High-income countries","In policy document"
"113","Antigua and Barbuda","ATG",2016,100,0,"High-income countries","In policy document"
"114","Antigua and Barbuda","ATG",2017,97.14286,2.857143,"High-income countries","In policy document"
"115","Antigua and Barbuda","ATG",2018,97.22221,2.7777777,"High-income countries","In policy document"
"116","Antigua and Barbuda","ATG",2019,97.22221,2.7777777,"High-income countries","In policy document"
"117","Antigua and Barbuda","ATG",2020,94.28572,5.714286,"High-income countries","In policy document"
"118","Antigua and Barbuda","ATG",2021,94.28572,5.714286,"High-income countries","In policy document"
"119","Antigua and Barbuda","ATG",2022,94.44444,5.5555553,"High-income countries","In policy document"
"120","Antigua and Barbuda","ATG",2023,94.44444,5.5555553,"High-income countries","In policy document"
"121","Argentina","ARG",1987,45.345196,42.24961,"Upper-middle-income countries","In policy document"
"122","Argentina","ARG",1988,59.597527,29.299517,"Upper-middle-income countries","In policy document"
"123","Argentina","ARG",1989,63.709454,26.135784,"Lower-middle-income countries","In policy document"
"124","Argentina","ARG",1990,49.90442,34.989185,"Lower-middle-income countries","In policy document"
"125","Argentina","ARG",1991,54.799755,29.710293,"Upper-middle-income countries","In policy document"
"126","Argentina","ARG",1992,52.20377,34.389725,"Upper-middle-income countries","In policy document"
"127","Argentina","ARG",1993,48.275524,38.57245,"Upper-middle-income countries","In policy document"
"128","Argentina","ARG",1994,45.143917,41.73245,"Upper-middle-income countries","In policy document"
"129","Argentina","ARG",1995,49.120033,39.635246,"Upper-middle-income countries","In policy document"
"130","Argentina","ARG",1996,56.030098,32.54642,"Upper-middle-income countries","In policy document"
"131","Argentina","ARG",1997,49.8554,38.80356,"Upper-middle-income countries","In policy document"
"132","Argentina","ARG",1998,53.7695,36.01876,"Upper-middle-income countries","In policy document"
"133","Argentina","ARG",1999,63.99072,26.866888,"Upper-middle-income countries","In policy document"
"134","Argentina","ARG",2000,60.463024,32.59159,"Upper-middle-income countries","In policy document"
"135","Argentina","ARG",2001,51.131573,41.036167,"Upper-middle-income countries","In policy document"
"136","Argentina","ARG",2002,50.11231,43.00745,"Upper-middle-income countries","In policy document"
"137","Argentina","ARG",2003,54.024113,37.75388,"Upper-middle-income countries","In policy document"
"138","Argentina","ARG",2004,60.831837,31.318571,"Upper-middle-income countries","In policy document"
"139","Argentina","ARG",2005,60.208035,33.295506,"Upper-middle-income countries","In policy document"
"140","Argentina","ARG",2006,58.68818,34.505863,"Upper-middle-income countries","In policy document"
"141","Argentina","ARG",2007,65.11628,28.49718,"Upper-middle-income countries","In policy document"
"142","Argentina","ARG",2008,67.32015,26.617996,"Upper-middle-income countries","In policy document"
"143","Argentina","ARG",2009,64.00425,29.30837,"Upper-middle-income countries","In policy document"
"144","Argentina","ARG",2010,66.68253,27.595238,"Upper-middle-income countries","In policy document"
"145","Argentina","ARG",2011,69.87412,25.18341,"Upper-middle-income countries","In policy document"
"146","Argentina","ARG",2012,72.51139,22.783413,"Upper-middle-income countries","In policy document"
"147","Argentina","ARG",2013,70.61313,24.933668,"Upper-middle-income countries","In policy document"
"148","Argentina","ARG",2014,71.091385,24.931429,"High-income countries","In policy document"
"149","Argentina","ARG",2015,71.4826,23.676249,"Upper-middle-income countries","In policy document"
"150","Argentina","ARG",2016,72.97867,21.39557,"Upper-middle-income countries","In policy document"
"151","Argentina","ARG",2017,72.68731,23.13028,"High-income countries","In policy document"
"152","Argentina","ARG",2018,71.32443,23.995096,"Upper-middle-income countries","In policy document"
"153","Argentina","ARG",2019,69.02458,24.926538,"Upper-middle-income countries","In policy document"
"154","Argentina","ARG",2020,67.76134,25.31803,"Upper-middle-income countries","In policy document"
"155","Argentina","ARG",2021,69.17402,24.18544,"Upper-middle-income countries","In policy document"
"156","Argentina","ARG",2022,65.876945,28.993273,"Upper-middle-income countries","In policy document"
"157","Argentina","ARG",2023,59.782833,34.098206,"Upper-middle-income countries","In policy document"
"158","Argentina","ARG",2024,61.102055,31.7978,"Upper-middle-income countries","In policy document"
"159","Armenia","ARM",2000,46.53979,21.626297,"Low-income countries","Proposed / in discussion"
"160","Armenia","ARM",2001,48.606274,16.72474,"Low-income countries","Proposed / in discussion"
"161","Armenia","ARM",2002,29.75518,30.885122,"Lower-middle-income countries","Proposed / in discussion"
"162","Armenia","ARM",2003,28.679243,36.981133,"Lower-middle-income countries","Proposed / in discussion"
"163","Armenia","ARM",2004,27.806564,34.19689,"Lower-middle-income countries","Proposed / in discussion"
"164","Armenia","ARM",2005,30.098686,28.782896,"Lower-middle-income countries","Proposed / in discussion"
"165","Armenia","ARM",2006,25.91944,31.698772,"Lower-middle-income countries","Proposed / in discussion"
"166","Armenia","ARM",2007,26.27866,32.27513,"Lower-middle-income countries","Proposed / in discussion"
"167","Armenia","ARM",2008,31.355932,30.16949,"Lower-middle-income countries","Proposed / in discussion"
"168","Armenia","ARM",2009,21.139706,36.764706,"Lower-middle-income countries","Proposed / in discussion"
"169","Armenia","ARM",2010,22.966509,40.510365,"Lower-middle-income countries","Proposed / in discussion"
"170","Armenia","ARM",2011,33.148407,34.119278,"Lower-middle-income countries","Proposed / in discussion"
"171","Armenia","ARM",2012,43.47826,29.411764,"Lower-middle-income countries","Proposed / in discussion"
"172","Armenia","ARM",2013,42.3231,28.704943,"Lower-middle-income countries","Proposed / in discussion"
"173","Armenia","ARM",2014,43.6919,26.162018,"Lower-middle-income countries","Proposed / in discussion"
"174","Armenia","ARM",2015,37.08609,28.874172,"Lower-middle-income countries","Proposed / in discussion"
"175","Armenia","ARM",2016,36.338028,32.816902,"Lower-middle-income countries","Proposed / in discussion"
"176","Armenia","ARM",2017,38.11421,29.880478,"Upper-middle-income countries","Proposed / in discussion"
"177","Armenia","ARM",2018,44.53228,30.434782,"Upper-middle-income countries","Proposed / in discussion"
"178","Armenia","ARM",2019,40.720963,32.17624,"Upper-middle-income countries","Proposed / in discussion"
"179","Armenia","ARM",2020,41.49215,25.13089,"Upper-middle-income countries","Proposed / in discussion"
"180","Armenia","ARM",2021,43.782387,32.253887,"Upper-middle-income countries","Proposed / in discussion"
"181","Armenia","ARM",2022,39.271255,34.10931,"Upper-middle-income countries","Proposed / in discussion"
"182","Armenia","ARM",2023,43.005783,27.976881,"Upper-middle-income countries","Proposed / in discussion"
"183","Armenia","ARM",2024,39.819004,30.20362,"Upper-middle-income countries","Proposed / in discussion"
"184","Australia","AUS",1987,86.246735,10.369839,"High-income countries","In law"
"185","Australia","AUS",1988,85.901215,10.507794,"High-income countries","In law"
"186","Australia","AUS",1989,86.97708,9.947415,"High-income countries","In law"
"187","Australia","AUS",1990,89.5595,9.9702215,"High-income countries","In law"
"188","Australia","AUS",1991,89.45297,10.368503,"High-income countries","In law"
"189","Australia","AUS",1992,89.440796,10.299597,"High-income countries","In law"
"190","Australia","AUS",1993,89.425964,10.323703,"High-income countries","In law"
"191","Australia","AUS",1994,89.91234,9.9148655,"High-income countries","In law"
"192","Australia","AUS",1995,90.39024,9.407731,"High-income countries","In law"
"193","Australia","AUS",1996,90.41199,9.408695,"High-income countries","In law"
"194","Australia","AUS",1997,90.83093,8.989149,"High-income countries","In law"
"195","Australia","AUS",1998,91.33579,8.488753,"High-income countries","In law"
"196","Australia","AUS",1999,91.36847,8.457536,"High-income countries","In law"
"197","Australia","AUS",2000,91.91071,8.089287,"High-income countries","In law"
"198","Australia","AUS",2001,92.30358,7.696424,"High-income countries","In law"
"199","Australia","AUS",2002,91.968315,8.031679,"High-income countries","In law"
"200","Australia","AUS",2003,91.74153,8.258464,"High-income countries","In law"
"201","Australia","AUS",2004,91.545616,8.454391,"High-income countries","In law"
"202","Australia","AUS",2005,91.020195,8.979804,"High-income countries","In law"
"203","Australia","AUS",2006,91.11727,8.882726,"High-income countries","In law"
"204","Australia","AUS",2007,91.65672,8.343271,"High-income countries","In law"
"205","Australia","AUS",2008,92.208,7.7919965,"High-income countries","In law"
"206","Australia","AUS",2009,91.93278,8.067227,"High-income countries","In law"
"207","Australia","AUS",2010,91.17026,8.829741,"High-income countries","In law"
"208","Australia","AUS",2011,88.05603,11.943968,"High-income countries","In law"
"209","Australia","AUS",2012,87.92388,12.076119,"High-income countries","In law"
"210","Australia","AUS",2013,85.76294,14.237057,"High-income countries","In law"
"211","Australia","AUS",2014,86.77165,13.228346,"High-income countries","In law"
"212","Australia","AUS",2015,85.90495,14.095042,"High-income countries","In law"
"213","Australia","AUS",2016,83.83611,16.163885,"High-income countries","In law"
"214","Australia","AUS",2017,84.866974,15.133026,"High-income countries","In law"
"215","Australia","AUS",2018,81.156,18.844002,"High-income countries","In law"
"216","Australia","AUS",2019,79.21775,20.78225,"High-income countries","In law"
"217","Australia","AUS",2020,75.75712,24.242882,"High-income countries","In law"
"218","Australia","AUS",2021,71.10861,28.891378,"High-income countries","In law"
"219","Australia","AUS",2022,67.9613,32.038692,"High-income countries","In law"
"220","Australia","AUS",2023,65.12395,34.87606,"High-income countries","In law"
"221","Australia","AUS",2024,64.51233,35.487675,"High-income countries","In law"
"222","Austria","AUT",1990,33.75279,66.24721,"High-income countries","In law"
"223","Austria","AUT",1991,34.908295,65.09171,"High-income countries","In law"
"224","Austria","AUT",1992,27.520544,72.479454,"High-income countries","In law"
"225","Austria","AUT",1993,25.842915,74.15708,"High-income countries","In law"
"226","Austria","AUT",1994,28.970163,71.02984,"High-income countries","In law"
"227","Austria","AUT",1995,29.3188,70.6812,"High-income countries","In law"
"228","Austria","AUT",1996,33.040222,66.95978,"High-income countries","In law"
"229","Austria","AUT",1997,31.96618,68.03382,"High-income countries","In law"
"230","Austria","AUT",1998,30.078827,69.92117,"High-income countries","In law"
"231","Austria","AUT",1999,29.085733,70.91426,"High-income countries","In law"
"232","Austria","AUT",2000,27.16298,72.83702,"High-income countries","In law"
"233","Austria","AUT",2001,30.731388,69.268616,"High-income countries","In law"
"234","Austria","AUT",2002,30.892296,69.107704,"High-income countries","In law"
"235","Austria","AUT",2003,39.209934,60.790066,"High-income countries","In law"
"236","Austria","AUT",2004,35.941795,64.058205,"High-income countries","In law"
"237","Austria","AUT",2005,36.492153,63.507843,"High-income countries","In law"
"238","Austria","AUT",2006,34.64073,65.35927,"High-income countries","In law"
"239","Austria","AUT",2007,31.290783,68.70921,"High-income countries","In law"
"240","Austria","AUT",2008,30.832558,69.16744,"High-income countries","In law"
"241","Austria","AUT",2009,28.741884,71.25812,"High-income countries","In law"
"242","Austria","AUT",2010,33.662636,66.337364,"High-income countries","In law"
"243","Austria","AUT",2011,34.2283,65.771706,"High-income countries","In law"
"244","Austria","AUT",2012,25.229424,74.77058,"High-income countries","In law"
"245","Austria","AUT",2013,21.766071,78.233925,"High-income countries","In law"
"246","Austria","AUT",2014,18.440292,81.55971,"High-income countries","In law"
"247","Austria","AUT",2015,22.968597,77.0314,"High-income countries","In law"
"248","Austria","AUT",2016,21.2579,78.742096,"High-income countries","In law"
"249","Austria","AUT",2017,23.908186,76.09182,"High-income countries","In law"
"250","Austria","AUT",2018,22.59162,77.40839,"High-income countries","In law"
"251","Austria","AUT",2019,22.704765,77.29523,"High-income countries","In law"
"252","Austria","AUT",2020,19.727694,80.2723,"High-income countries","In law"
"253","Austria","AUT",2021,20.850174,79.14983,"High-income countries","In law"
"254","Austria","AUT",2022,21.841574,78.15842,"High-income countries","In law"
"255","Austria","AUT",2023,15.286804,84.713196,"High-income countries","In law"
"256","Austria","AUT",2024,13.279858,86.720146,"High-income countries","In law"
"257","Azerbaijan","AZE",2000,91.86295,8.137045,"Low-income countries","In policy document"
"258","Azerbaijan","AZE",2001,93.196205,6.8037977,"Low-income countries","In policy document"
"259","Azerbaijan","AZE",2002,89.293365,10.706638,"Low-income countries","In policy document"
"260","Azerbaijan","AZE",2003,88.52305,11.476953,"Lower-middle-income countries","In policy document"
"261","Azerbaijan","AZE",2004,87.43094,12.569061,"Lower-middle-income countries","In policy document"
"262","Azerbaijan","AZE",2005,86.95271,13.047285,"Lower-middle-income countries","In policy document"
"263","Azerbaijan","AZE",2006,89.84088,10.159119,"Lower-middle-income countries","In policy document"
"264","Azerbaijan","AZE",2007,89.275894,10.724106,"Lower-middle-income countries","In policy document"
"265","Azerbaijan","AZE",2008,89.77798,10.222016,"Lower-middle-income countries","In policy document"
"266","Azerbaijan","AZE",2009,87.851456,12.1485405,"Upper-middle-income countries","In policy document"
"267","Azerbaijan","AZE",2010,81.735405,18.264597,"Upper-middle-income countries","In policy document"
"268","Azerbaijan","AZE",2011,86.92649,13.073508,"Upper-middle-income countries","In policy document"
"269","Azerbaijan","AZE",2012,92.1637,7.8363085,"Upper-middle-income countries","In policy document"
"270","Azerbaijan","AZE",2013,93.29032,6.709677,"Upper-middle-income countries","In policy document"
"271","Azerbaijan","AZE",2014,94.43768,5.5623226,"Upper-middle-income countries","In policy document"
"272","Azerbaijan","AZE",2015,93.0403,6.9597073,"Upper-middle-income countries","In policy document"
"273","Azerbaijan","AZE",2016,91.58954,8.410462,"Upper-middle-income countries","In policy document"
"274","Azerbaijan","AZE",2017,92.23782,7.7621803,"Upper-middle-income countries","In policy document"
"275","Azerbaijan","AZE",2018,92.24036,7.75965,"Upper-middle-income countries","In policy document"
"276","Azerbaijan","AZE",2019,93.10212,6.89788,"Upper-middle-income countries","In policy document"
"277","Azerbaijan","AZE",2020,94.87379,5.126214,"Upper-middle-income countries","In policy document"
"278","Azerbaijan","AZE",2021,94.5304,5.469593,"Upper-middle-income countries","In policy document"
"279","Azerbaijan","AZE",2022,93.64202,6.357982,"Upper-middle-income countries","In policy document"
"280","Azerbaijan","AZE",2023,93.468544,6.531454,"Upper-middle-income countries","In policy document"
