"","Entity","Year","Code","Fossil_Fuels","Renewables","Income_Group"
"1","ASEAN (Ember)",2000,"",80.652916,,
"2","ASEAN (Ember)",2001,"",80.93368,,
"3","ASEAN (Ember)",2002,"",82.3357,,
"4","ASEAN (Ember)",2003,"",83.327515,,
"5","ASEAN (Ember)",2004,"",84.29999,,
"6","ASEAN (Ember)",2005,"",84.84733,,
"7","ASEAN (Ember)",2006,"",84.234,,
"8","ASEAN (Ember)",2007,"",84.31197,,
"9","ASEAN (Ember)",2008,"",83.50253,,
"10","ASEAN (Ember)",2009,"",83.299164,,
"11","ASEAN (Ember)",2010,"",83.512436,,
"12","ASEAN (Ember)",2011,"",81.21261,,
"13","ASEAN (Ember)",2012,"",80.3753,,
"14","ASEAN (Ember)",2013,"",79.65168,,
"15","ASEAN (Ember)",2014,"",80.0352,,
"16","ASEAN (Ember)",2015,"",81.63004,,
"17","ASEAN (Ember)",2016,"",79.91292,,
"18","ASEAN (Ember)",2017,"",76.56995,,
"19","ASEAN (Ember)",2018,"",76.547714,,
"20","ASEAN (Ember)",2019,"",79.03105,,
"21","ASEAN (Ember)",2020,"",76.78208,,
"22","ASEAN (Ember)",2021,"",74.17657,,
"23","ASEAN (Ember)",2022,"",71.91785,,
"24","ASEAN (Ember)",2023,"",73.83612,,
"25","ASEAN (Ember)",2024,"",73.65114,,
"26","Afghanistan",2000,"AFG",35.416668,,"Low-income countries"
"27","Afghanistan",2001,"AFG",27.536232,,"Low-income countries"
"28","Afghanistan",2002,"AFG",21.126762,,"Low-income countries"
"29","Afghanistan",2003,"AFG",30.76923,,"Low-income countries"
"30","Afghanistan",2004,"AFG",29.113924,,"Low-income countries"
"31","Afghanistan",2005,"AFG",28.04878,,"Low-income countries"
"32","Afghanistan",2006,"AFG",28.88889,,"Low-income countries"
"33","Afghanistan",2007,"AFG",25.742573,,"Low-income countries"
"34","Afghanistan",2008,"AFG",30.769232,,"Low-income countries"
"35","Afghanistan",2009,"AFG",12.35955,,"Low-income countries"
"36","Afghanistan",2010,"AFG",14.772727,,"Low-income countries"
"37","Afghanistan",2011,"AFG",22.077923,,"Low-income countries"
"38","Afghanistan",2012,"AFG",15.909091,,"Low-income countries"
"39","Afghanistan",2013,"AFG",19.81982,,"Low-income countries"
"40","Afghanistan",2014,"AFG",13.793103,,"Low-income countries"
"41","Afghanistan",2015,"AFG",12.711865,,"Low-income countries"
"42","Afghanistan",2016,"AFG",12.396694,,"Low-income countries"
"43","Afghanistan",2017,"AFG",13.4920635,,"Low-income countries"
"44","Afghanistan",2018,"AFG",17.094017,,"Low-income countries"
"45","Afghanistan",2019,"AFG",12.328767,,"Low-income countries"
"46","Afghanistan",2020,"AFG",10.169492,,"Low-income countries"
"47","Afghanistan",2021,"AFG",12.264152,,"Low-income countries"
"48","Afghanistan",2022,"AFG",13.541666,,"Low-income countries"
"49","Afghanistan",2023,"AFG",13.4020605,,"Low-income countries"
"50","Africa",1985,"",77.89477,6.2178087,
"51","Africa",1986,"",76.861885,6.357194,
"52","Africa",1987,"",79.38894,5.8988004,
"53","Africa",1988,"",77.57349,6.009116,
"54","Africa",1989,"",77.446335,6.295899,
"55","Africa",1990,"",78.509735,6.2146626,
"56","Africa",1991,"",77.705894,6.5928745,
"57","Africa",1992,"",78.85432,6.2082686,
