Entity,Year,Code,Fossil_Fuels,Renewables,Income_Group,Target_Year,HasTarget,YearsToTarget,YearsToTarget_dec,Renewables_lag,YearsToTarget_dec_sq,Pred_Renewables
Algeria,2001,DZA,99.73703,0.061327934,Lower-middle-income countries,2030,TRUE,29,2.9,0.05001067,8.41,-0.5545396658423307
Algeria,2002,DZA,99.783005,0.048507243,Lower-middle-income countries,2030,TRUE,28,2.8,0.061327934,7.839999999999999,-0.5373137737779423
Algeria,2003,DZA,99.12073,0.2143434,Lower-middle-income countries,2030,TRUE,27,2.7,0.048507243,7.290000000000001,-0.37580761445660116
Algeria,2004,DZA,99.2,0.19449507,Lower-middle-income countries,2030,TRUE,26,2.6,0.2143434,6.760000000000001,-0.035548165233389994
Algeria,2005,DZA,98.37806,0.40765893,Lower-middle-income countries,2030,TRUE,25,2.5,0.19449507,6.25,-0.11045330429297273
Algeria,2006,DZA,99.37553,0.15344006,Lower-middle-income countries,2030,TRUE,24,2.4,0.40765893,5.76,0.1118757908252821
Algeria,2007,DZA,99.40845,0.1504157,Lower-middle-income countries,2030,TRUE,23,2.3,0.15344006,5.289999999999999,-0.17736679696665192
Algeria,2008,DZA,99.30401,0.17631334,Upper-middle-income countries,2030,TRUE,22,2.2,0.1504157,4.840000000000001,-0.1252856225277803
Algeria,2009,DZA,99.22078,0.20000759,Upper-middle-income countries,2030,TRUE,21,2.1,0.17631334,4.41,0.17787819360627743
Algeria,2010,DZA,99.62826,0.10803143,Upper-middle-income countries,2030,TRUE,20,2,0.20000759,4,0.14784116011152193
Algeria,2011,DZA,99.02382,0.22096606,Upper-middle-income countries,2030,TRUE,19,1.9,0.10803143,3.61,-0.2820478170527174
Algeria,2012,DZA,98.91985,0.21108034,Upper-middle-income countries,2030,TRUE,18,1.8,0.22096606,3.24,0.24877757314532367
Algeria,2013,DZA,99.44899,0.060776502,Upper-middle-income countries,2030,TRUE,17,1.7,0.21108034,2.8899999999999997,0.5040414929811821
Algeria,2014,DZA,99.611015,0.110372595,Upper-middle-income countries,2030,TRUE,16,1.6,0.060776502,2.5600000000000005,-0.03189361211665087
Algeria,2015,DZA,99.68043,0.09101885,Upper-middle-income countries,2030,TRUE,15,1.5,0.110372595,2.25,0.04800371057063124
Algeria,2016,DZA,99.52139,0.13686113,Upper-middle-income countries,2030,TRUE,14,1.4,0.09101885,1.9599999999999997,-0.0874945755330021
Algeria,2017,DZA,99.15867,0.23208226,Upper-middle-income countries,2030,TRUE,13,1.3,0.13686113,1.6900000000000002,0.01480398397173488
Algeria,2018,DZA,98.931595,0.27123353,Upper-middle-income countries,2030,TRUE,12,1.2,0.23208226,1.44,0.44205288691724753
Algeria,2019,DZA,98.93395,0.27703846,Lower-middle-income countries,2030,TRUE,11,1.1,0.27123353,1.2100000000000002,0.5526575416115076
Algeria,2020,DZA,98.891266,0.2825046,Lower-middle-income countries,2030,TRUE,10,1,0.27703846,1,1.8929048342446375
Algeria,2021,DZA,99.05374,0.23804712,Lower-middle-income countries,2030,TRUE,9,0.9,0.2825046,0.81,0.7089846032078473
Algeria,2022,DZA,99.0598,0.22791375,Lower-middle-income countries,2030,TRUE,8,0.8,0.23804712,0.6400000000000001,0.6878968749697911
Algeria,2023,DZA,99.05503,0.22667149,Upper-middle-income countries,2030,TRUE,7,0.7,0.22791375,0.48999999999999994,1.0811396856369928
Argentina,1986,ARG,45.197807,11.6309395,,2050,TRUE,64,6.4,11.97929,40.96000000000001,
Argentina,1987,ARG,45.345196,11.583315,Upper-middle-income countries,2050,TRUE,63,6.3,11.6309395,39.69,12.153999423150708
Argentina,1988,ARG,59.597527,7.94562,Upper-middle-income countries,2050,TRUE,62,6.2,11.583315,38.440000000000005,10.922101578693894
Argentina,1989,ARG,63.709454,7.115889,Lower-middle-income countries,2050,TRUE,61,6.1,7.94562,37.209999999999994,7.918681223973773
Argentina,1990,ARG,49.90442,9.72907,Lower-middle-income countries,2050,TRUE,60,6,7.115889,36,9.173733722140243
Argentina,1991,ARG,54.799755,8.570026,Upper-middle-income countries,2050,TRUE,59,5.9,9.72907,34.81,10.107840672194866
Argentina,1992,ARG,52.20377,9.639757,Upper-middle-income countries,2050,TRUE,58,5.8,8.570026,33.64,9.6064200396816
